Time / s,Power / W
1398,-3367.5049228776097
1399,-5138.79466532112
1400,-6804.955249678496
1401,-7670.939299023124
1402,-9425.834080761311
1403,-14341.320045572324
1404,-22261.16461063482
1405,-24331.195400317683
1406,-17260.90268312757
1407,-6613.937074074075
1408,924.5591531802496
1409,2628.810557034468
1410,1707.7047357848421
1411,760.4999174859042
1412,190.57881707009358
1413,915.1132739840525
1414,4228.470964639537
1415,9884.509968621402
1416,15855.094043312276
1417,19488.416860082296
1418,18434.890798353914
1419,11853.341002984029
1420,2671.679146540638
1421,-6941.583551199813
1422,-12350.32418731186
1423,-7579.170407948007
1424,377.4608196421188
1425,6794.595820778084
1426,14387.912169045778
1427,17367.87253842545
1428,11282.045265908399
1429,3040.152947161737
1430,-4206.331511471665
1431,-12054.80678209066
1432,-19876.9336867284
1433,-20963.988213065364
1434,-17663.45006477671
1435,-8672.467036827464
1436,-191.1144383406711
1437,3725.384153351719
1438,4435.118120482302
1439,2670.3705037341874
1440,258.14422142441896
1441,-2544.6391548734946
1442,-3150.185630696537
1443,-1066.6302910879647
1444,924.4027777777778
1445,1569.1721780478395
1446,445.56974242921933
1447,-3378.292370525167
1448,-7473.46032664609
1449,-6573.40988290895
1450,-2521.136920991464
1451,-320.4519629629629
1452,-0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,770.596636621704
1480,1451.2323522328913
1481,1819.7924481095677
1482,1958.4718472484185
1483,2030.189131382411
1484,2154.5331272671856
1485,2542.65604846584
1486,3475.4978852237646
1487,4874.420478202159
1488,6814.202820168421
1489,9312.898714506175
1490,12161.922827224793
1491,15015.936319251541
1492,17212.604314617158
1493,18379.98463037504
1494,19008.612437307103
1495,18719.06887804831
1496,17973.19330013765
1497,16863.007536934652
1498,15063.773821180539
